W.L,Weight.class,Method,Round,Time,Fighter1,Fighter2,Fight_url,Date,Kd1,SigStrikes1,TotStrikes1,Td1,SubAtt1,Pass1,Rev1,Kd2,SigStrikes2,TotStrikes2,Td2,SubAtt2,Pass2,Rev2,Head1,Body1,Leg1,Distance1,Clinch1,Ground1,Head2,Body2,Leg2,Distance2,Clinch2,Ground2
win,Heavyweight,"KO/TKO

      

      
        Knees",1,8:02,Scott Ferrozzo,Jim Mullen,http://www.fightmetric.com/fight-details/72e7d6d5328bc3d6,"February 07, 1997","
      0
    ","
      4 of 9
    ","
      9 of 17
    ","
      0 of 1
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      5 of 7
    ","
      16 of 22
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      4 of 9
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 5
    ","
      0 of 0
    ","
      3 of 4
    ","
      4 of 6
    ","
      1 of 1
    ","
      0 of 0
    ","
      1 of 3
    ","
      2 of 2
    ","
      2 of 2
    "
win,Lightweight,U-DEC,2,3:00,Yoshiki Takahashi,Wallid Ismail,http://www.fightmetric.com/fight-details/e45feb9866eb2da7,"February 07, 1997","
      0
    ","
      16 of 30
    ","
      32 of 49
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      14 of 26
    ","
      45 of 60
    ","
      1 of 1
    ","
      0
    ","
      1
    ","
      0
    ","
      10 of 22
    ","
      6 of 8
    ","
      0 of 0
    ","
      2 of 9
    ","
      14 of 21
    ","
      0 of 0
    ","
      11 of 23
    ","
      3 of 3
    ","
      0 of 0
    ","
      2 of 5
    ","
      9 of 16
    ","
      3 of 5
    "
win,Lightweight,"SUB

      

      
        Rear Naked Choke",1,1:24,Jerry Bohlander,Rainy Martinez,http://www.fightmetric.com/fight-details/18af785da73b5996,"February 07, 1997","
      0
    ","
      60 of 94
    ","
      180 of 216
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      21 of 50
    ","
      27 of 56
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      17 of 48
    ","
      34 of 37
    ","
      9 of 9
    ","
      17 of 43
    ","
      43 of 51
    ","
      0 of 0
    ","
      20 of 49
    ","
      1 of 1
    ","
      0 of 0
    ","
      15 of 39
    ","
      6 of 11
    ","
      0 of 0
    "
win,Heavyweight,"SUB

      

      
        Heel Hook",1,0:14,Justin Martin,Eric Martin,http://www.fightmetric.com/fight-details/77bf1e37929b0d59,"February 07, 1997","
      0
    ","
      9 of 10
    ","
      21 of 22
    ","
      1 of 1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      3 of 5
    ","
      3 of 6
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      9 of 10
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      9 of 10
    ","
      0 of 2
    ","
      0 of 0
    ","
      3 of 3
    ","
      3 of 5
    ","
      0 of 0
    ","
      0 of 0
    "
win,Lightweight,KO/TKO,1,0:48,Nick Sanzo,Jackie Lee,http://www.fightmetric.com/fight-details/565ecefd8a37ad7e,"February 07, 1997","
      0
    ","
      18 of 21
    ","
      179 of 189
    ","
      1 of 1
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      2 of 3
    ","
      15 of 16
    ","
      1 of 3
    ","
      1
    ","
      1
    ","
      0
    ","
      9 of 11
    ","
      5 of 5
    ","
      4 of 5
    ","
      1 of 2
    ","
      5 of 5
    ","
      12 of 14
    ","
      1 of 2
    ","
      1 of 1
    ","
      0 of 0
    ","
      1 of 2
    ","
      1 of 1
    ","
      0 of 0
    "
win,Open Weight,"SUB

      

      
        Rear Naked Choke",1,1:22,Don Frye,David Abbott,http://www.fightmetric.com/fight-details/d595d2c36ddba8ee,"December 07, 1996","
      0
    ","
      8 of 9
    ","
      16 of 17
    ","
      1 of 1
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      0 of 2
    ","
      3 of 5
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      5 of 6
    ","
      3 of 3
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      8 of 9
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    "
win,Open Weight,"KO/TKO

      

      
        Punch",1,1:03,David Abbott,Steve Nelmark,http://www.fightmetric.com/fight-details/c8ff8a72f3c5a825,"December 07, 1996","
      0
    ","
      6 of 8
    ","
      8 of 10
    ","
      1 of 1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      5 of 7
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 2
    ","
      5 of 6
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
win,Open Weight,"SUB

      

      
        Ankle Lock",1,0:20,Don Frye,Mark Hall,http://www.fightmetric.com/fight-details/f716e27b04a6fbb5,"December 07, 1996","
      0
    ","
      7 of 7
    ","
      8 of 8
    ","
      1 of 1
    ","
      2
    ","
      0
    ","
      0
    ","
      0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      7 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 1
    ","
      0 of 0
    ","
      6 of 6
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
win,Open Weight,"SUB

      

      
        Forearm Choke",1,5:48,Ken Shamrock,Brian Johnston,http://www.fightmetric.com/fight-details/fa48320affd3b2b4,"December 07, 1996","
      0
    ","
      34 of 60
    ","
      71 of 105
    ","
      3 of 5
    ","
      2
    ","
      6
    ","
      0
    ","
      0
    ","
      1 of 6
    ","
      17 of 22
    ","
      0 of 2
    ","
      0
    ","
      0
    ","
      1
    ","
      30 of 56
    ","
      4 of 4
    ","
      0 of 0
    ","
      2 of 4
    ","
      4 of 5
    ","
      28 of 51
    ","
      1 of 6
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 6
    ","
      0 of 0
    ","
      0 of 0
    "
win,Open Weight,"KO/TKO

      

      
        Punches",1,9:08,Kimo Leopoldo,Paul Varelans,http://www.fightmetric.com/fight-details/14e48e29fefe1b3d,"December 07, 1996","
      0
    ","
      33 of 48
    ","
      51 of 70
    ","
      2 of 2
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      3 of 7
    ","
      8 of 13
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      33 of 48
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 3
    ","
      19 of 26
    ","
      12 of 19
    ","
      1 of 4
    ","
      1 of 2
    ","
      1 of 1
    ","
      0 of 3
    ","
      3 of 4
    ","
      0 of 0
    "
win,Open Weight,"KO/TKO

      

      
        Punches",1,2:51,David Abbott,Cal Worsham,http://www.fightmetric.com/fight-details/f84070b049bc14e6,"December 07, 1996","
      0
    ","
      11 of 16
    ","
      42 of 48
    ","
      1 of 1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      11 of 22
    ","
      28 of 39
    ","
      0 of 0
    ","
      0
    ","
      1
    ","
      0
    ","
      4 of 9
    ","
      7 of 7
    ","
      0 of 0
    ","
      1 of 4
    ","
      5 of 7
    ","
      5 of 5
    ","
      5 of 13
    ","
      4 of 6
    ","
      2 of 3
    ","
      0 of 6
    ","
      11 of 16
    ","
      0 of 0
    "
win,Open Weight,"SUB

      

      
        Other",1,1:19,Don Frye,Gary Goodridge,http://www.fightmetric.com/fight-details/9713ba5e92ee4f5d,"December 07, 1996","
      0
    ","
      5 of 6
    ","
      6 of 7
    ","
      0 of 0
    ","
      0
    ","
      1
    ","
      1
    ","
      0
    ","
      5 of 7
    ","
      8 of 10
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      5 of 6
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 3
    ","
      0 of 0
    ","
      3 of 3
    ","
      3 of 4
    ","
      1 of 2
    ","
      1 of 1
    ","
      0 of 0
    ","
      5 of 7
    ","
      0 of 0
    "
win,Open Weight,"KO/TKO

      

      
        Headbutts",1,4:46,Tai Bowden,Jack Nilson,http://www.fightmetric.com/fight-details/2f449bd58b3d9a99,"December 07, 1996","
      0
    ","
      25 of 30
    ","
      33 of 38
    ","
      1 of 2
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0 of 1
    ","
      19 of 21
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      20 of 25
    ","
      5 of 5
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      25 of 30
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    "
win,Open Weight,"SUB

      

      
        Other - Choke",1,1:37,Steve Nelmark,Marcus Bossett,http://www.fightmetric.com/fight-details/d93c8c77e1091a16,"December 07, 1996","
      0
    ","
      2 of 5
    ","
      13 of 17
    ","
      1 of 2
    ","
      1
    ","
      2
    ","
      1
    ","
      0
    ","
      3 of 4
    ","
      5 of 7
    ","
      0 of 0
    ","
      0
    ","
      1
    ","
      0
    ","
      2 of 5
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 5
    ","
      2 of 3
    ","
      0 of 0
    ","
      1 of 1
    ","
      1 of 1
    ","
      0 of 0
    ","
      2 of 3
    "
win,Open Weight,KO/TKO,1,1:45,Mark Hall,Felix Lee Mitchell,http://www.fightmetric.com/fight-details/a5c90086fb65f58e,"December 07, 1996","
      0
    ","
      27 of 28
    ","
      182 of 191
    ","
      1 of 1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      2 of 2
    ","
      22 of 26
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      8 of 8
    ","
      19 of 20
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      27 of 28
    ","
      1 of 1
    ","
      1 of 1
    ","
      0 of 0
    ","
      1 of 1
    ","
      1 of 1
    ","
      0 of 0
    "
win,Open Weight,U-DEC,2,3:00,Scott Ferrozzo,David Abbott,http://www.fightmetric.com/fight-details/9f6a7aee1fce539a,"September 20, 1996","
      0
    ","
      21 of 36
    ","
      48 of 64
    ","
      0 of 2
    ","
      1
    ","
      1
    ","
      1
    ","
      0
    ","
      3 of 5
    ","
      9 of 11
    ","
      0 of 1
    ","
      0
    ","
      1
    ","
      0
    ","
      9 of 23
    ","
      7 of 8
    ","
      5 of 5
    ","
      0 of 11
    ","
      18 of 22
    ","
      3 of 3
    ","
      3 of 5
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 1
    ","
      3 of 4
    ","
      0 of 0
    "
win,Open Weight,"KO/TKO

      

      
        Punches",1,2:20,Mark Coleman,Brian Johnston,http://www.fightmetric.com/fight-details/b633d9d9626239ec,"September 20, 1996","
      0
    ","
      16 of 75
    ","
      32 of 94
    ","
      0 of 2
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      18 of 81
    ","
      59 of 122
    ","
      0 of 1
    ","
      0
    ","
      1
    ","
      0
    ","
      13 of 70
    ","
      0 of 0
    ","
      3 of 5
    ","
      9 of 62
    ","
      1 of 4
    ","
      6 of 9
    ","
      9 of 71
    ","
      9 of 10
    ","
      0 of 0
    ","
      8 of 71
    ","
      1 of 1
    ","
      9 of 9
    "
win,Open Weight,U-DEC,1,5:00,Jerry Bohlander,Fabio Gurgel,http://www.fightmetric.com/fight-details/a5200c9bac3c420b,"September 20, 1996","
      0
    ","
      46 of 59
    ","
      82 of 98
    ","
      1 of 1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      2 of 5
    ","
      24 of 30
    ","
      0 of 6
    ","
      0
    ","
      0
    ","
      0
    ","
      27 of 39
    ","
      19 of 20
    ","
      0 of 0
    ","
      1 of 5
    ","
      11 of 16
    ","
      34 of 38
    ","
      1 of 4
    ","
      0 of 0
    ","
      1 of 1
    ","
      2 of 2
    ","
      0 of 3
    ","
      0 of 0
    "
win,Open Weight,"SUB

      

      
        Forearm Choke",1,2:06,David Abbott,Sam Adkins,http://www.fightmetric.com/fight-details/398ff6015a5ba3b5,"September 20, 1996","
      0
    ","
      3 of 3
    ","
      4 of 4
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 2
    ","
      1 of 2
    ","
      1 of 1
    ","
      0
    ","
      1
    ","
      0
    ","
      2 of 2
    ","
      0 of 0
    ","
      1 of 1
    ","
      2 of 2
    ","
      0 of 0
    ","
      1 of 1
    ","
      1 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 1
    ","
      1 of 1
    ","
      0 of 0
    "
win,Open Weight,"KO/TKO

      

      
        Punches",1,0:28,Brian Johnston,Reza Nasri,http://www.fightmetric.com/fight-details/7149494344c04258,"September 20, 1996","
      0
    ","
      8 of 29
    ","
      74 of 96
    ","
      3 of 3
    ","
      0
    ","
      5
    ","
      0
    ","
      0
    ","
      1 of 4
    ","
      3 of 7
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      7 of 27
    ","
      1 of 1
    ","
      0 of 1
    ","
      1 of 2
    ","
      0 of 0
    ","
      7 of 27
    ","
      0 of 3
    ","
      0 of 0
    ","
      1 of 1
    ","
      1 of 4
    ","
      0 of 0
    ","
      0 of 0
    "
win,Open Weight,"SUB

      

      
        Neck Crank",1,0:45,Mark Coleman,Julian Sanchez,http://www.fightmetric.com/fight-details/b03b58b04dafa93a,"September 20, 1996","
      0
    ","
      8 of 17
    ","
      33 of 48
    ","
      1 of 1
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      0 of 0
    ","
      5 of 5
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      8 of 17
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      8 of 17
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
win,Open Weight,"KO/TKO

      

      
        Punches",1,1:33,Roberto Traven,Dave Berry,http://www.fightmetric.com/fight-details/3badedeb2c5533f4,"September 20, 1996","
      0
    ","
      9 of 11
    ","
      29 of 33
    ","
      1 of 1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      1 of 2
    ","
      1 of 2
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      6 of 6
    ","
      2 of 2
    ","
      1 of 3
    ","
      1 of 3
    ","
      0 of 0
    ","
      8 of 8
    ","
      0 of 1
    ","
      1 of 1
    ","
      0 of 0
    ","
      1 of 2
    ","
      0 of 0
    ","
      0 of 0
    "
